許可證字號,註銷狀態,註銷日期,註銷理由,有效日期,發證日期,許可證種類,舊證字號,通關簽審文件編號,中文品名,英文品名,適應症,劑型,包裝,藥品類別,管制藥品分類級別,主成分略述,申請商名稱,申請商地址,申請商統一編號,製造商名稱,製造廠廠址,製造廠公司地址,製造廠國別,製程,異動日期,用法用量,包裝與國際條碼
"衛署成製字第012618號","","","","2028/06/18","2003/06/18","製　劑","","DHY00301261802","擦可潔消毒手凝露","SECOJA ANTI-BACTERIAL HAND SANITIZER GEL","肌膚及手部清潔、消毒、抗菌。","外用凝膠劑","塑膠瓶裝;;玻璃瓶裝","","","ETHANOL ( EQ TO ETHYL ALCOHOL) (EQ TO ALCOHOL);;ETHANOL ( EQ TO ETHYL ALCOHOL) (EQ TO ALCOHOL)","井田國際醫藥廠股份有限公司","台中市大甲區幼獅路32號","24430803","井田國際醫藥廠股份有限公司","台中市大甲區幼獅路32號","","TW","","2023/03/16","",""
"衛署成製字第012619號","","","","2028/06/18","2003/06/18","製　劑","","DHY00301261901","護清潔 消毒潔膚噴液","HUCHJA ANTI-BACTERIAL CLEAN SKIN SPRAY","肌膚及手部清潔、消毒、抗菌。","外用液劑","玻璃瓶裝;;塑膠瓶裝","","","ETHANOL ( EQ TO ETHYL ALCOHOL) (EQ TO ALCOHOL);;ETHANOL ( EQ TO ETHYL ALCOHOL) (EQ TO ALCOHOL)","天下生物科技股份有限公司","臺中市大甲區工九路9號","28059641","井田國際醫藥廠股份有限公司","台中市大甲區幼獅路32號","","TW","","2023/02/20","",""
"衛署成製字第012620號","","","","2028/06/19","2003/06/19","製　劑","","DHY00301262002","""艾力特""克淨乾洗手液","KEH JING HAND SANITIZER SOLUTION ""ELT""","肌膚及手部清潔、消毒、抗菌。","外用液劑","塑膠瓶裝","","","ISOPROPYL ALCOHOL (2-PROPANOL);;ISOPROPYL ALCOHOL (2-PROPANOL)","艾力特生技製藥股份有限公司將軍廠","臺南市將軍區忠興里忠興132之35號A區","91079188","艾力特生技製藥股份有限公司將軍廠","臺南市將軍區忠興里忠興132之35號A區","","TW","","2023/06/14","",""
"衛署成製字第012621號","","","","2028/06/20","2003/06/20","製　劑","","DHY00301262101","〝白花〞涼玉","""WHITE FLOWER""NASAL MENTHOL STICK","頭痛、皮膚搔癢、蚊蟲咬傷。","棒劑","盒裝;;盒裝;;盒裝","","","L-MENTHOL","鼐成興業股份有限公司","桃園市中壢區正光二街82號4樓","05513845","人生製藥股份有限公司","台中市西屯區工業區五路３號","","TW","","2024/07/15","",""
"衛署成製字第012622號","","","","2028/06/20","2003/06/20","製　劑","","DHY00301262203","""人生"" 萬油精","ALLESSENCE OIL ""JEN SHENG""","頭眩、鼻塞、頭痛、蚊蟲咬傷、湯火灼傷、止癢消腫、手足酸痛、舟車暈浪。","外用液劑","玻璃瓶裝","","","L-MENTHOL ;;CAMPHOR SPIRIT;;METHYL SALICYLATE","人生製藥股份有限公司","台中市西屯區工業區五路３號","58003103","人生製藥股份有限公司","台中市西屯區工業區五路３號","","TW","","2024/05/30","",""
"衛署成製字第012640號","","","","2028/06/30","2003/06/30","製　劑","","DHY00301264005","克菌寧乾洗手液","SO EASY LIQUID","肌膚及手部清潔、消毒、抗菌。","外用液劑","塑膠瓶裝","","","ISOPROPYL ALCOHOL (2-PROPANOL);;ISOPROPYL ALCOHOL (2-PROPANOL)","寶齡富錦生技股份有限公司","臺北市南港區園區街3號16樓","04742997","寶齡富錦生技股份有限公司平鎮廠","桃園市平鎮區平鎮村興隆路２６６號","","TW","","2023/03/08","",""
"衛署成製字第012641號","","","","2028/06/30","2003/06/30","製　劑","","DHY00301264107","""艾力特"" 易潔露潔手凝露。","YIH-JYE-LOW ANTI-BACTERIAL HAND SANITIZER GEL ""ELT""","肌膚及手部清潔、消毒、抗菌。","外用凝膠劑","塑膠瓶裝;;鋁箔袋裝","","","ETHANOL ( EQ TO ETHYL ALCOHOL) (EQ TO ALCOHOL);;ETHANOL ( EQ TO ETHYL ALCOHOL) (EQ TO ALCOHOL)","艾力特生技製藥股份有限公司將軍廠","臺南市將軍區忠興里忠興132之35號A區","91079188","應元化學製藥股份有限公司","台南市南區新忠路２６號","","TW","","2023/08/22","",""
"衛署成製字第012669號","","","","2028/07/04","2003/07/04","製　劑","","DHY00301266903","""中美"" 鎮菌易 噴劑","ANTI-BACEASY SPRAY ""C.M.""","肌膚及手部清潔、消毒、抗菌。","外用噴液劑","塑膠瓶裝","","","ETHANOL ( EQ TO ETHYL ALCOHOL) (EQ TO ALCOHOL);;ETHANOL ( EQ TO ETHYL ALCOHOL) (EQ TO ALCOHOL)","中美兄弟製藥股份有限公司","彰化縣彰化市彰鹿路106號","58090015","中美兄弟製藥股份有限公司","彰化縣彰化市彰鹿路106號","","TW","","2023/04/17","",""
"衛署成製字第012679號","","","","2028/07/14","2003/07/14","製　劑","","DHY00301267906","綠油精倍護潔手液","KEEP ANTI-BACTERIAL HAND SANITIZER SOLUTION","肌膚及手部清潔、消毒、抗菌。","外用液劑","塑膠瓶裝","","","ETHANOL ( EQ TO ETHYL ALCOHOL) (EQ TO ALCOHOL)","新萬仁化學製藥股份有限公司","臺中市后里區圳寮路138之106號","55323709","新萬仁化學製藥股份有限公司一廠","臺中市后里區義里里圳寮路138之108號A、C棟","","TW","","2023/03/17","",""
"衛署成製字第012690號","","","","2028/07/21","2003/07/21","製　劑","","DHY00301269007","潔手易抗菌凝露","BIO-EAZY GEL","肌膚及手部清潔、消毒、抗菌。","外用凝膠劑","塑膠瓶裝","","","ETHANOL ( EQ TO ETHYL ALCOHOL) (EQ TO ALCOHOL)","中生生技製藥股份有限公司淡水廠","新北市淡水區埤島里行忠路120號","04883172","中生生技製藥股份有限公司淡水廠","新北市淡水區埤島里行忠路120號","","TW","","2023/05/16","",""
"衛署成製字第012691號","","","","2028/07/21","2003/07/21","製　劑","","DHY00301269109","優良生醫消毒潔手酒精液70%","UHC Anti-Bacterial Hand Solution 70%","肌膚及手部清潔、消毒、抗菌。","外用液劑","塑膠瓶裝","","","ETHANOL ( EQ TO ETHYL ALCOHOL) (EQ TO ALCOHOL)","健喬信元醫藥生技股份有限公司","新竹縣湖口鄉工業一路6號","43199950","健康化學製藥股份有限公司","台中市大甲區幼獅工業區幼四路１２號","","TW","","2023/12/27","",""
"衛署成製字第012692號","","","","2028/07/22","2003/07/22","製　劑","","DHY00301269201","""健康"" 潔美易乾洗手凝膠","KINSAGEN ANTI-BACTERIAL HAND GEL ""HEALTH""","肌膚及手部清潔、消毒、抗菌。","外用凝膠劑","塑膠瓶裝","","","ETHANOL ( EQ TO ETHYL ALCOHOL) (EQ TO ALCOHOL)","健康化學製藥股份有限公司","台中市大甲區幼獅工業區幼四路１２號","27058010","健康化學製藥股份有限公司","台中市大甲區幼獅工業區幼四路１２號","","TW","","2023/06/13","",""
"衛署成製字第012693號","","","","2028/07/21","2003/07/21","製　劑","","DHY00301269300","小神盾抗菌凝膠","BIO-SEEDS GEL","肌膚及手部清潔、消毒、抗菌。","外用凝膠劑","塑膠瓶裝","","","ETHANOL ( EQ TO ETHYL ALCOHOL) (EQ TO ALCOHOL)","中生生技製藥股份有限公司淡水廠","新北市淡水區埤島里行忠路120號","04883172","中生生技製藥股份有限公司淡水廠","新北市淡水區埤島里行忠路120號","","TW","","2023/05/16","",""
"衛署成製字第012730號","","","","2028/08/18","2003/08/18","製　劑","","DHY00301273006","允消消毒潔手凝露","WINSOLVE ANTI-BACTERIAL HAND SANITIZER","肌膚及手部清潔、消毒、抗菌。","外用凝膠劑","塑膠軟管裝;;塑膠瓶裝","","","ETHANOL ( EQ TO ETHYL ALCOHOL) (EQ TO ALCOHOL);;ETHANOL ( EQ TO ETHYL ALCOHOL) (EQ TO ALCOHOL)","永信藥品工業股份有限公司","台中市大甲區頂店里中山路一段1191號","56065601","永信藥品工業股份有限公司台中幼獅廠","台中市大甲區日南里工九路２７號","","TW","","2023/03/10","",""
