許可證字號,註銷狀態,註銷日期,註銷理由,有效日期,發證日期,許可證種類,舊證字號,通關簽審文件編號,中文品名,英文品名,適應症,劑型,包裝,藥品類別,管制藥品分類級別,主成分略述,申請商名稱,申請商地址,申請商統一編號,製造商名稱,製造廠廠址,製造廠公司地址,製造廠國別,製程,異動日期,用法用量,包裝與國際條碼
"衛署藥製字第032062號","","","","2030/01/12","1990/01/12","製　劑","","DHY00103206200","痛都好液","TON TO FO LIQUID ""WEI LI""","緩解感冒之各種症狀（流鼻水、鼻塞、打噴嚏、咽喉痛、咳嗽、喀痰、畏寒、發燒、頭痛、關節痛、肌肉酸痛）。","內服液劑","玻璃瓶裝","","","CHLORPHENIRAMINE MALEATE;;ACETAMINOPHEN (EQ TO PARACETAMOL);;POTASSIUM GUAIACOLSULFONATE;;DL-METHYLEPHEDRINE HCL;;CAFFEINE ANHYDROUS","痛都好股份有限公司","臺南市北區中樓里開元路60號2樓","90002134","澳斯麗國際股份有限公司淡水廠","新北市淡水區北新路三段一二三之一號","","TW","","2024/12/17","一日4次。成人每次10mL，12歲以上，適用成人劑量。",""
"衛署藥製字第032070號","","","","2030/01/15","1990/01/15","製　劑","","DHY00103207002","""井田""癒黴乳膏","EYME CREAM ""CHINTENG""","治療皮膚表淺性黴菌感染，如足癬(香港腳)、股癬、汗斑。緩解濕疹或皮膚炎。　","乳膏劑","鋁軟管;;塑膠瓶裝","","","ECONAZOLE NITRATE;;TRIAMCINOLONE ACETONIDE;;ECONAZOLE NITRATE;;TRIAMCINOLONE ACETONIDE;;ECONAZOLE NITRATE;;TRIAMCINOLONE ACETONIDE","井田國際醫藥廠股份有限公司","台中市大甲區幼獅路32號","24430803","井田國際醫藥廠股份有限公司","台中市大甲區幼獅路32號","","TW","","2024/11/13","取本藥適量塗於患部，早晚各塗1次，一天不超過2次。",""
"衛署藥製字第032120號","","","","2030/02/01","1990/02/01","製　劑","","DHY00103212001","血液透析液１號","HEMODIALYSIS CONCENTRATE NO.1 ""S.T.""","配合洗腎機及人工腎臟，用以清洗腎臟病病人之血中尿毒","透析用液劑","瓶裝","","","SODIUM ACETATE TRIHYDRATE (EQ TO SODIUM ACETATE 3H2O );;POTASSIUM CHLORIDE;;SODIUM CHLORIDE;;CALCIUM CHLORIDE DIHYDRATE;;MAGNESIUM CHLORIDE HEXAHYDRATE (EQ TO MAGNESIUM CHLORIDE 6H2O);;GLUCOSE MONOHYDRATE","信東生技股份有限公司","桃園市桃園區介壽路２２號","43211700","信東生技股份有限公司","桃園市桃園區介壽路２２號","","TW","","2024/09/23","",""
"衛署藥製字第032121號","","","","2030/02/01","1990/02/01","製　劑","","DHY00103212103","血液透析液２號","HEMODIALYSIS CONCENTRATE NO.2 ""S.T.""","配合洗腎機及人工腎臟，用以清洗腎臟病人之血中尿毒","透析用液劑","瓶裝","","","CALCIUM CHLORIDE DIHYDRATE;;GLUCOSE MONOHYDRATE;;MAGNESIUM CHLORIDE HEXAHYDRATE (EQ TO MAGNESIUM CHLORIDE 6H2O);;SODIUM ACETATE TRIHYDRATE (EQ TO SODIUM ACETATE 3H2O );;SODIUM CHLORIDE;;POTASSIUM CHLORIDE","信東生技股份有限公司","桃園市桃園區介壽路２２號","43211700","信東生技股份有限公司","桃園市桃園區介壽路２２號","","TW","","2024/09/23","",""
"衛署藥製字第032122號","","","","2030/02/01","1990/02/01","製　劑","","DHY00103212205","""信東"" 沙特靜脈點滴注射液５公絲/公撮（梯尼達諾）","SATA INJECTION FOR INTRAVENOUS INFUSION 5MG/ML (TINIDAZOLE) ""S.T.""","預防外科手術之厭氧菌感染","注射液劑","瓶裝","","","TINIDAZOLE","信東生技股份有限公司","桃園市桃園區介壽路２２號","43211700","信東生技股份有限公司","桃園市桃園區介壽路２２號","","TW","","2025/01/24","",""
"衛署藥製字第032124號","","","","2030/02/01","1990/02/01","製　劑","","DHY00103212409","普樂康綜合感冒膠囊","C.A.P. CAPSULES","緩解感冒之各種症狀（鼻塞、打噴嚏、咽喉痛、發燒，頭痛，關節痛，肌肉痛，流鼻水）．","膠囊劑","塑膠瓶裝","","","CAFFEINE ANHYDROUS;;ACETAMINOPHEN (EQ TO PARACETAMOL);;METHYLEPHEDRINE HCL;;ETHENZAMIDE (ETHOXYBENZAMIDE);;CHLORPHENIRAMINE MALEATE","健喬信元醫藥生技股份有限公司","新竹縣湖口鄉工業一路6號","43199950","優良化學製藥股份有限公司","新竹縣湖口鄉中興村光復路10號","","TW","","2024/08/19","",""
"衛署藥製字第032125號","","","","2025/02/01","1990/02/01","製　劑","","DHY00103212501","""聯邦"" 博治痛注射液２０公絲/公撮（匹若西卡）","PIXTIM INJECTION 20MG/ML (PIROXICAM) ""UNION""","類風濕性關節炎、幼年型類風濕性關節炎、骨關節炎（關節痛、退化性關節炎）僵直性脊椎炎、急性肌肉骨骼損傷、急性痛風、原發性痛經","注射劑","安瓿","","","PIROXICAM","聯邦化學製藥股份有限公司","台北市內湖區瑞光路26巷36弄2號5樓","33744404","安星製藥股份有限公司","新竹縣新豐鄉鳳坑村坑子口６７３號","","TW","","2021/03/04","",""
"衛署藥製字第032135號","","","","2025/02/02","1990/02/02","製　劑","","DHY00103213501","""五福"" 滴目露眼藥水０．５％（第莫洛）","TIMOLOL OPHTHALMIC SOLUTION 0.5% ""WU-FU""","青光眼、降低眼壓","點眼液劑","塑膠瓶裝","","","TIMOLOL (MALEATE)","五福化學製藥股份有限公司","宜蘭縣蘇澳鎮龍德里德興八路9號","42071836","五福化學製藥股份有限公司","宜蘭縣蘇澳鎮龍德工業區德興八路９號","","TW","","2023/04/21","",""
"衛署藥製字第032136號","","","","2025/02/02","1990/02/02","製　劑","","DHY00103213603","滴目露眼藥水０．２５％（第莫洛）","TIMOLOL OPHTHALMIC SOLUTION 0.25% ""WU-FU""","青光眼、降低眼壓","點眼液劑","瓶裝","","","TIMOLOL (MALEATE)","五福化學製藥股份有限公司","宜蘭縣蘇澳鎮龍德里德興八路9號","42071836","五福化學製藥股份有限公司","宜蘭縣蘇澳鎮龍德工業區德興八路９號","","TW","","2023/04/21","",""
"衛署藥製字第032137號","","","","2030/02/02","1990/02/02","製　劑","","DHY00103213705","帝達黴素膠囊１５０公絲（克林達黴素）","TIDACT CAPSULES 150MG (CLINDAMYCIN)","葡萄球菌、鏈球菌、肺炎雙球菌及厭氣菌等具有感受性菌株所引起之感染症","膠囊劑","瓶裝;;罐裝;;盒裝","","","CLINDAMYCIN (HCL)","永信藥品工業股份有限公司","台中市大甲區頂店里中山路一段1191號","56065601","永信藥品工業股份有限公司台中幼獅廠","台中市大甲區日南里工九路２７號","","TW","","2024/12/31","",""
"衛署藥製字第032153號","","","","2030/02/05","1990/02/05","製　劑","","DHY00103215303","”華貿”瀉樂寧膠囊(樂必寧)","VOLYER Capsules “F.M.”(LOPERAMIDE)","暫時緩解輕微或中度急性腹瀉","膠囊劑","PTP 鋁箔盒裝","","","LOPERAMIDE HCL;;LOPERAMIDE HCL;;LOPERAMIDE HCL;;LOPERAMIDE HCL;;LOPERAMIDE HCL;;LOPERAMIDE HCL","華貿行實業股份有限公司","新北市五股區五權七路52號4樓","86942418","長安化學工業股份有限公司","彰化縣福興鄉萬豐村福工路19號、19-1號","","TW","","2025/06/03","",""
"衛署藥製字第032155號","","","","2030/02/05","1990/02/05","製　劑","","DHY00103215507","嗽嗽安液","SAUSAUAN LIQUID","咳嗽、喀痰（四季感冒、鼻炎、支氣管炎、咽喉炎、氣喘、熱嗽、感冒所引起之咳嗽、喀痰）","內服液劑","瓶裝","","","METHOXYPHENAMINE HCL;;TAURINE (EQ TO 2-AMINOETHANE SULFONIC ACID);;DL-METHYLEPHEDRINE HCL;;CAFFEINE SODIUM BENZOATE;;DYPHYLLINE;;CHLORPHENIRAMINE MALEATE;;GUAIACOL GLYCERYL ETHER (EQ TO GUAIFENESIN)","中美兄弟製藥股份有限公司","彰化縣彰化市彰鹿路106號","58090015","中美兄弟製藥股份有限公司","彰化縣彰化市彰鹿路106號","","TW","","2024/10/16","",""
"衛署藥製字第032159號","","","","2030/02/06","1990/02/06","製　劑","","DHY00103215902","""衛達""得咳定錠20毫克（梯比匹定）","TICODIN TABLETS 20MG ""WEIDAR"" (TIPEPIDINE)","鎮咳","錠劑","塑膠瓶裝","","","TIPEPIDINE CITRATE (HIBENZATE)","衛達化學製藥股份有限公司","臺中市南屯區寶山里工業區23路21號","30950745","衛達化學製藥股份有限公司","台中市工業區２３路２１號","","TW","","2025/02/11","一天3次。成人每次1錠，12以上適用成人劑量；6歲以上未滿12歲，每次1/2錠；3歲以上未滿6歲，每次1/4錠；3歲以下之嬰幼兒，請洽醫師診治。",""
"衛署藥製字第032162號","","","","2028/05/25","1990/02/06","製　劑","01024505","DHY00103216204","盈盈　抗痛錠","SOURIREE COMTON TABLETS","退燒、止痛（緩解頭痛、牙痛、咽喉痛、關節痛、神經痛、肌肉酸痛、月經痛）","錠劑","盒裝;;瓶裝","","","ETHENZAMIDE (ETHOXYBENZAMIDE);;ACETAMINOPHEN (EQ TO PARACETAMOL);;CAFFEINE ANHYDROUS;;BROMISOVALUM ( EQ TO BROMOVALERYLUREA) ( EQ TO BROMVALETONE)","盈盈生技製藥股份有限公司三峽廠","新北市三峽區紫新路２６巷６號","80259156","盈盈生技製藥股份有限公司三峽廠","新北市三峽區紫新路２６巷６號","","TW","","2023/02/20","",""
"衛署藥製字第032167號","","","","2030/02/07","1990/02/07","製　劑","","DHY00103216701","足爽乳膏10毫克/公克","CHIAU SON CREAM 10mg/g","治療皮膚表淺性黴菌感染，如：足癬(香港腳)、體癬、股癬、汗斑。","乳膏劑","鋁管裝","","","CICLOPIROX OLAMINE (CICLOPIROX ETHANOLAMINE SALT)","五洲製藥股份有限公司","桃園市新屋區赤欄里17之1號","18560031","五洲製藥股份有限公司","桃園市新屋區赤欄里１７號之１","","TW","","2025/02/07","一天1~2次，均勻塗於患部",""
"衛署藥製字第032170號","","","","2029/11/11","1990/02/07","製　劑","12014962","DHY00103217003","〝西德有機〞炎癢靈乳膏","ALLERCURE CREAM ""SHITEH""","細菌性感染症、過敏性皮膚炎、痤瘡、昆蟲刺螫症、嬰孩苔癬、嬰孩濕布擦傷、濕疹、癢疹、乾癬、創傷、火傷、凍傷","乳膏劑","管裝","","","NEOMYCIN (SULFATE);;PREDNISOLONE;;CHLORAMPHENICOL","西德有機化學藥品股份有限公司","新北市三重中正北路560巷36號","35152903","西德有機化學藥品股份有限公司","新北市三重區中正北路５６０巷３６號","","TW","","2024/07/26","",""
"衛署藥製字第032218號","","","","2030/02/19","1990/02/19","製　劑","","DHY00103221805","""鳥頭"" 大眾感冒液","DAH JONG COLD LIQUID ""B.H.""","感冒諸症狀（發燒、頭痛、流鼻水、鼻塞、打噴嚏、咽喉痛、喀痰、關節痛、肌肉痛）。","內服液劑","瓶裝","","","CHLORPHENIRAMINE MALEATE;;CAFFEINE ANHYDROUS;;GLYCYRRHIZA EXTRACT;;ACETAMINOPHEN (EQ TO PARACETAMOL);;GUAIACOL GLYCERYL ETHER (EQ TO GUAIFENESIN);;DL-METHYLEPHEDRINE HCL","正和製藥股份有限公司新營廠","台南市新營區嘉芳里新工路２３號","72004856","正和製藥股份有限公司新營廠","台南市新營區嘉芳里新工路２３號","","TW","","2025/01/10","",""
"衛署藥製字第032219號","","","","2025/02/19","1990/02/19","製　劑","","DHY00103221907","衝力口服液","STRO ORAL LIQUID","消除疲勞、增強體力、營養補給、維護肝臟正常功能","口服液劑","瓶裝","","","THIAMINE HYDROCHLORIDE;;TAURINE (EQ TO 2-AMINOETHANE SULFONIC ACID);;RIBOFLAVIN PHOSPHATE;;PYRIDOXINE HCL;;NIACINAMIDE (NICOTINAMIDE);;PANTHENOL;;LYSINE HCL","慶昌藥品有限公司","屏東市前進里前進路５１－３號","91728085","漁人製藥股份有限公司","高雄市左營區民族一路７０７號","","TW","","2020/05/22","",""
"衛署藥製字第032220號","","","","2025/02/19","1990/02/19","製　劑","","DHY00103222005","治敏膠囊","ALLERGICS CAPSULES ""N.T.""","蕁麻疹、濕疹、過敏性疾患、皮膚炎、藥物過敏、食物過敏、氣喘。","膠囊劑","盒裝;;瓶裝","","","GLYCYRRHIZATE TRISODIUM;;CHLORPHENIRAMINE MALEATE;;OROTIC ACID (VIT B13)","南都化學製藥股份有限公司","臺南市佳里區麻興路二段552號","22397048","美西製藥有限公司","高雄市仁武區仁武里工業一路９號","","TW","","2023/08/11","",""
"衛署藥製字第032223號","","","","2030/02/19","1990/02/19","製　劑","","DHY00103222301","""生達""舒痛熱液12毫克/毫升（對位乙醯胺酚）","ACETAMINOPHEN LIQUID 12MG/ML (ACETAMINOPHEN) ""STANDARD""","退燒、止痛（緩解頭痛、肌肉酸痛、關節痛、神經痛、月經痛、牙痛，咽喉痛）","內服液劑","玻璃瓶裝;;塑膠瓶裝","","","ACETAMINOPHEN (EQ TO PARACETAMOL)","生達化學製藥股份有限公司","臺南市新營區土庫里土庫6之20號","71122503","生達化學製藥股份有限公司二廠","台南市新營區開元路１５４號","","TW","","2024/08/20","發燒或需要時服用，若症狀持續，則每4~6小時可重複服用，每24小時內不可超過4次。成人每次20毫升，12歲以上適用成人劑量。6歲以上未滿12歲，每次10毫升。3歲以上未滿6歲，每次5毫升。3歲以下之嬰幼兒，請洽醫師診治，不宜自行使用。",""
"衛署藥製字第032269號","","","","2030/03/06","1990/03/06","製　劑","","DHY00103226909","""生達"" 賜華定懸液用粉５００毫克/５毫升（西華定）","CEFADIN SUSPENSION 500MG/5ML ""STANDARD""(CEPHRADINE)","葡萄球菌、鏈球菌、肺炎雙球菌、腦膜炎雙球菌及其他具有感受性細菌所引起的感染症","懸液用粉劑","瓶裝","","","CEPHRADINE (MONOHYDRATE)","生達化學製藥股份有限公司","臺南市新營區土庫里土庫6之20號","71122503","信東生技股份有限公司觀音廠","桃園市觀音區樹林村國建一路1號","","TW","","2024/09/26","",""
"衛署藥製字第032270號","","","","2030/03/06","1990/03/06","製　劑","","DHY00103227007","佛記保衛胃補錠","FOR-CHI OAINE TABLETS","胃炎、腸炎、食道炎所伴隨之胃痛、胃酸過多、胃部不適或灼熱感。","錠劑","塑膠瓶裝;;鋁箔盒裝","","","OXETHAZAINE;;MAGNESIUM CARBONATE;;ALUMINUM HYDROXIDE DRIED GEL","正和製藥股份有限公司新營廠","台南市新營區嘉芳里新工路２３號","72004856","正和製藥股份有限公司新營廠","台南市新營區嘉芳里新工路２３號","","TW","","2025/03/21","一天4次，或需要時服用。成人每次1錠，12歲以上適用成人劑量。",""
"衛署藥製字第032271號","","","","2025/03/06","1990/03/06","製　劑","","DHY00103227109","“華盛頓”頓蟲錠１０毫克（美苯噠唑）","TUNCHOW TABLETS 10MG (MEBENDAZOLE) ""W.S.T.""","驅除蟯蟲","錠劑","PTP 鋁箔盒裝;;塑膠瓶裝","","","MEBENDAZOLE","華盛頓製藥廠股份有限公司","高雄市仁武區仁武里工業二路12號","07407503","華盛頓製藥廠股份有限公司","高雄市仁武區仁武里工業二路12號","","TW","","2020/05/05","成人及3歲以上小孩服用1次，100mg。不需空腹，任何時間皆可服用。2週後若症狀仍未解除，或再有感染時可在投與1次劑量。3歲或12公斤以下之嬰幼兒，請洽醫師診治，不宜自行使用。",""
"衛署藥製字第032272號","","","","2028/05/25","1990/03/07","製　劑","01025036","DHY00103227201","意比舒乳膏","EPISON CREAM","治療皮膚表淺性黴菌感染，如足癬（香港腳）、股癬、汗斑。緩解濕疹或皮膚炎。","乳膏劑","鋁管裝;;盒裝","","","ECONAZOLE NITRATE;;TRIAMCINOLONE ACETONIDE","恒安製藥工業股份有限公司","台中市西屯區台中工業區一路１０１號","52473036","恒安製藥工業股份有限公司","台中市西屯區台中工業區一路１０１號","","TW","","2023/07/21","取本劑適量塗擦於患部，不超過一天2次，早晚各塗敷1次。",""
"衛署藥製字第032274號","","","","2028/05/25","1990/03/07","製　劑","01024144","DHY00103227402","克寧菲爾私密乳膏","CLEAN FAVOR VAGINAL CREAM","皮膚因真菌群或念珠菌種所引起之皮膚感染症","乳膏劑","管裝;;罐裝","","","MICONAZOLE NITRATE;;HYDROCORTISONE","澳斯麗國際股份有限公司淡水廠","新北市淡水區北新路三段一二三之一號","12935103","澳斯麗國際股份有限公司淡水廠","新北市淡水區北新路三段一二三之一號","","TW","","2023/05/15","陰道感染、皮膚感染症:一日1~3次，塗布於患部，直至症狀消失，並繼續使用至痊癒為止。嚴重頑癬:一日2~4次，可視症狀適宜增減之。",""
"衛署藥製字第032275號","","","","2030/03/10","1990/03/10","製　劑","","DHY00103227504","""信東"" 血樂平錠25毫克","CEPORIN TABLETS 25MG","嚴重高血壓、腎血管性高血壓及傳統療法無理想效果或發生不良副作用之高血壓。","錠劑","塑膠瓶裝;;玻璃瓶裝;;鋁箔盒裝","","","CAPTOPRIL","信東生技股份有限公司","桃園市桃園區介壽路２２號","43211700","信東生技股份有限公司","桃園市桃園區介壽路２２號","","TW","","2025/07/11","",""
"衛署藥製字第032276號","","","","2030/03/10","1990/03/10","製　劑","","DHY00103227606","潰胃寶錠５０公絲（匹陪理特雷）","KUIPO TABLETS 50MG (PIPERIDOLATE)","下列疾病所引起之痙攣性疼痛：胃、十二腸潰瘍、胃炎、腸炎、膽石症、膽囊炎、膽道運動異常","錠劑","瓶裝","","","PIPERIDOLATE HCL","中美兄弟製藥股份有限公司","彰化縣彰化市彰鹿路106號","58090015","中美兄弟製藥股份有限公司","彰化縣彰化市彰鹿路106號","","TW","","2025/01/02","",""
"衛署藥製字第032277號","","","","2030/03/10","1990/03/10","製　劑","","DHY00103227708","""國嘉"" 鼻舒錠","PEESU TABLETS ""KOJAR""","季節性、過敏性鼻炎及血管運動性鼻炎所伴生打噴嚏、鼻塞、流鼻水之緩解。","錠劑","PTP 鋁箔盒裝","","","PSEUDOEPHEDRINE HCL;;TRIPROLIDINE HCL MONOHYDRATE","國嘉製藥工業股份有限公司幼獅三廠","臺中市大甲區日南里工十路2號","22596980","國嘉製藥工業股份有限公司幼獅三廠","臺中市大甲區日南里工十路2號","","TW","","2025/09/10","通常成人及12歲以上之小孩每次一錠，6~12歲1/2錠，每日3~4次經口投與之。",""
"衛署藥製字第032294號","","","","2030/03/20","1990/03/20","製　劑","","DHY00103229408","慶昌感冒液","CHING CHANG COLD LIGUID","緩解感冒之各種症狀（流鼻水、鼻塞、打噴嚏、咽喉痛、咳嗽、喀痰、畏寒、發燒、頭痛、關節痛、肌肉酸痛）。","內服液劑","玻璃瓶裝","","","POTASSIUM GUAIACOLSULFONATE;;CAFFEINE;;CHLORPHENIRAMINE MALEATE;;ACETAMINOPHEN (EQ TO PARACETAMOL);;DL-METHYLEPHEDRINE HCL","慶昌藥品有限公司","屏東縣屏東市公勇路123號","91728085","臺灣陽生製藥工業股份有限公司","屏東市龍華里龍華路３８１號","","TW","","2025/06/06","一日4次。成人每次10毫升 ，12歲以上適用成人劑量。",""
"衛署藥製字第032295號","","","","2030/03/20","1990/03/20","製　劑","","DHY00103229500","""生達"" 賜華定膠囊５００毫克（西華定）","CEFADIN CAP 500MG ""STANDARD""(CEPHRADINE)","葡萄球菌、鏈球菌、肺炎雙球菌、腦膜炎雙球菌、及其他具有感受性細菌所引起的感染","膠囊劑","盒裝;;瓶裝","","","CEPHRADINE (MONOHYDRATE)","生達化學製藥股份有限公司","臺南市新營區土庫里土庫6之20號","71122503","信東生技股份有限公司觀音廠","桃園市觀音區樹林村國建一路1號","","TW","","2024/09/26","",""
"衛署藥製字第032305號","","","","2030/03/28","1990/03/20","製　劑","01030789","DHY00103230500","妥邁霖防蚊液２８３．６８毫克/毫升","TOLU SOLUTION 283.68MG/ML (DIETHYLTOLUAMIDE) ""H.S.""","驅逐蚊、蜱(壁蝨)、蚤。","外用液劑","鋁罐裝;;塑膠瓶裝;;玻璃瓶裝","","","DIETHYLTOLUAMIDE","黃氏製藥股份有限公司","雲林縣斗南鎮小東里大同路４４４巷１１號","22390988","黃氏製藥股份有限公司","雲林縣斗南鎮小東里大同路４４４巷１１號","","TW","","2025/03/14","",""
"衛署藥製字第032309號","","","","2030/03/20","1990/03/20","製　劑","","DHY00103230908","索卡因錠","SOCAINE TABLET","纖維織炎、滑囊炎、腱鞘炎、關節風濕症、骨關節炎、手術後肌痛","錠劑","盒裝;;瓶裝","","","CHLORMEZANONE;;ACETAMINOPHEN (EQ TO PARACETAMOL)","瑞安大藥廠股份有限公司","臺北市內湖區內湖路1段392號11樓之1","23045916","優良化學製藥股份有限公司","新竹縣湖口鄉中興村光復路10號","","TW","","2024/11/25","",""
"衛署藥製字第032310號","","","","2030/03/20","1990/03/20","製　劑","","DHY00103231006","""瑞安"" 美胃適錠200毫克（氫氧化鋁鎂）","MAGACID TABLET 200MG (MAGALDRATE) ""PURZER""","緩解胃部不適或灼熱感、或經診斷為胃及十二指腸潰瘍、胃炎、食道炎所伴隨之胃酸過多。","錠劑","鋁箔裝;;瓶裝","","","MAGALDRATE","瑞安大藥廠股份有限公司","臺北市內湖區內湖路1段392號11樓之1","23045916","優良化學製藥股份有限公司","新竹縣湖口鄉中興村光復路10號","","TW","","2024/11/20","成人每次二錠，一天3-4次，或需要時服用。咬碎後服用即可。12歲以上適用成人劑量。6歲以上未滿12歲，適用成人劑量之1/2。3歲以上未滿6歲，適用成人劑量之1/4。3歲以下之嬰幼兒，請洽醫師診治，不宜自行使用。",""
"衛署藥製字第043764號","","","","2030/05/22","2000/05/22","製　劑","","DHY00104376404","”應元”見明眼藥水","GEMIN EYE DROPS ""Y.Y.""","結膜炎、角膜炎、麥粒腫、瞼結膜炎、淚囊炎、眼瞼緣炎。","點眼液劑","塑膠瓶裝","","","GENTAMICIN (AS SULFATE)","應元化學製藥股份有限公司","台南市南區新忠路２６號","69549600","應元化學製藥股份有限公司","台南市南區新忠路２６號","","TW","","2024/12/12","",""
"衛署藥製字第043765號","","","","2030/05/23","2000/05/23","製　劑","","DHY00104376506","心血平錠２毫克","KINXABEN TAB. 2MG (DOXAZOSIN)","高血壓、良性前列腺肥大。","錠劑","鋁箔盒裝;;塑膠瓶裝","","","DOXAZOSIN MESYLATE","永茂藥業股份有限公司","台北市內湖區港墘路82巷7弄13號1樓","25102546","健喬信元醫藥生技股份有限公司健喬廠","新竹縣湖口鄉中興村工業一路６號","","TW","","2025/02/17","",""
"衛署藥製字第043766號","","","","2030/05/23","2000/05/23","製　劑","","DHY00104376608","麗膚樂乳膏","LIPRO CREAM","與下列狀況有關的皮膚表面止痛：１．插針，如靜脈注射導管或抽血前。２．表皮外科處置。３．生殖器黏膜，如表皮外科處置前或浸潤麻醉前。","乳膏劑","鋁管裝;;塑膠瓶裝","","","PRILOCAINE;;LIDOCAINE","壽元化學工業股份有限公司","嘉義市西區新民路128號","66289377","壽元化學工業股份有限公司","嘉義市西區新民路128號","","TW","","2025/03/07","",""
"衛署藥製字第043768號","","","","2030/05/26","2000/05/26","製　劑","","DHY00104376802","滿乃通　注射液　１５Ｗ／Ｖ％","MANITON INJECTION 15W/V%","利尿、降顱內壓、腦水腫、促進毒物之尿中排除、腎小球過濾速率之測定（診斷用）。","注射劑","盒裝;;玻璃瓶裝","","","D-MANNITOL","杏林新生製藥股份有限公司","桃園市龍潭區三和村店湖一路２３７號","33122166","杏林新生製藥股份有限公司","桃園市龍潭區三和村店湖一路２３７號","","TW","","2024/12/25","滲透壓降壓作用：靜脈輸注，每公斤體重0.5g~2gm以15~25%溶液，點滴輸 注30~60分鐘。 利尿作用：靜脈輸注，50~100gm(或兒童2gm/kg或每公尺體表面積60mg)的5~25%溶液，以維持尿液每小時流量至少為30~50ml之速率點滴輸注。 診斷用(腎功能)：靜脈輸注，每公斤體重200mg以15~25%溶液於3~5分鐘內注入體內。腎小球過濾速率測定：靜脈輸入，20gm(20%溶液100ml)以180ml氯化鈉注射液稀釋成7.2%甘露醇溶液，以每分鐘20ml之速率給藥。",""
"衛署藥製字第043770號","","","","2030/05/30","2000/05/30","製　劑","","DHY00104377002","""溫士頓"" 炎得寧錠4毫克 (甲基培尼皮質醇)","EXCELIN TABLETS 4MG (METHYLPREDNISOLONE) ""WINSTON""","風濕性熱、風濕樣關節炎及過敏性症狀。","錠劑","鋁箔盒裝;;塑膠瓶裝","","","METHYLPREDISOLONE (HEMISUCCINATE)","溫士頓醫藥股份有限公司","台南市永康區仁愛街117號","72082135","溫士頓醫藥股份有限公司","台南市永康區鹽洲里仁愛街１１７號","","TW","","2025/01/24","",""
"衛署藥製字第043771號","","","","2030/05/30","2000/05/30","製　劑","","DHY00104377101","景胃寧膜衣錠150毫克(雷尼得定)","KIRADIN F.C. TABLETS 150MG (RANITIDINE)","十二指腸潰瘍、良性胃潰瘍、邊緣性之消化性潰瘍、回流食道炎、高濃度胃酸分泌症候群。","膜衣錠","鋁箔盒裝","","","RANITIDINE (HCL)","健喬信元醫藥生技股份有限公司","新竹縣湖口鄉工業一路6號","43199950","健喬信元醫藥生技股份有限公司健喬廠","新竹縣湖口鄉中興村工業一路６號","","TW","","2025/02/11","",""
"衛署藥製字第043786號","","","","2030/05/30","2000/05/30","製　劑","","DHY00104378601","散卡注射液","SALCA INJECTION","神經痛、腰痛、慢性濕疹。","注射劑","安瓿","","","DEXTROSE;;CALCIUM BROMIDE;;SODIUM SALICYLATE","壽元化學工業股份有限公司","嘉義市西區新民路128號","66289377","壽元化學工業股份有限公司","嘉義市西區新民路128號","","TW","","2025/01/15","",""
"衛署藥製字第043801號","","","","2030/06/08","2000/06/08","製　劑","","DHY00104380100","甜兒菜糖漿24毫克/毫升","ANALGESIC SYRUP 24MG/ML","退燒、止痛（緩解頭痛、牙痛、咽喉痛、關節痛、神經痛、肌肉酸痛、月經痛）。","糖漿劑","塑膠瓶裝","","","ACETAMINOPHEN (EQ TO PARACETAMOL)","美西製藥有限公司","高雄市仁武區仁武里工業一路９號","85610030","美西製藥有限公司","高雄市仁武區仁武里工業一路９號","","TW","","2025/07/03","發燒或需要時服用，若症狀持續，則每4~6小時可重複服用，每24小時內不可超過6次。成人每次10 ml，12歲以上適用成人劑量；6歲以上未滿12歲，每次5 ml；3歲以上未滿 6歲，每次2.5 ml；3歲以下之嬰幼兒，請洽醫師診治，不宜自行使用。",""
"衛署藥製字第043802號","","","","2025/06/08","2000/06/08","製　劑","","DHY00104380202","""皇佳"" 泛治咳膠囊　　　　　　","LYDICON CAPSULES ""ROYAL""","鎮咳、袪痰。","膠囊劑","PTP 鋁箔盒裝;;塑膠瓶裝","","","LYSOZYME (CHLORIDE);;POTASSIUM CRESOLSULFONATE;;DEXTROMETHORPHAN HBR","皇佳化學製藥股份有限公司","高雄市鳥松區埔安街1號","85847859","皇佳化學製藥股份有限公司","高雄市鳥松區?埔里埔安街1號","高雄市鳥松區埔安街1號","TW","","2020/03/18","",""
"衛署藥製字第043803號","","","","2029/03/31","1995/06/08","製　劑","","DHY00104380301","舒舒－愛感冒糖漿","SU SU-A SYRUP","緩解感冒之各種症狀（鼻塞、流鼻水、打噴嚏、發燒、頭痛、咽喉痛、關節痛、肌肉痛、咳嗽、喀痰）之緩解。","糖漿劑","瓶裝","","","CAFFEINE;;ACETAMINOPHEN (EQ TO PARACETAMOL);;POTASSIUM GUAIACOLSULFONATE;;GLYCYRRHIZAE EXTRACT;;DEXTROMETHORPHAN HBR;;DL-METHYLEPHEDRINE HCL;;CHLORPHENIRAMINE MALEATE","歐文藥品股份有限公司","臺北市南港區忠孝東路七段518號2樓","04925503","健康化學製藥股份有限公司","台中市大甲區幼獅工業區幼四路１２號","","TW","","2024/03/29","",""
