序號,藥品代碼,藥品名稱,成分名稱,成分含量,,劑型,規格量,,藥商名稱,分組名稱,"114年12月
現行調整大類
(註1)","分類
(註2)",藥品類別,"指示用藥
(註3)","115年12月31日
現行調整大類
(註4)","115年12月31日
新制調整大類
(註5)",專利到期日,備註
77,AC31651429,SCORO ORABASE 1MG/G (TRIAMCINOLONE)  MEIDER,TRIAMCINOLONE ACETONIDE,1,MG/GM,口內膏,10,GM,明德製藥股份有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 10.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
78,AC36084429,CORKELIN ORAL GEL 1MG/GM  M.S. (TRIAMCINOLONE),TRIAMCINOLONE (ACETONIDE),1,MG/GM,口內膏,10,GM,美西製藥有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 10.00 GM,三B,1,一般學名藥,Y,三B,第三大類,,
79,AC43602429,CHEER ORABASE 1MG/GM  WINSTON,TRIAMCINOLONE (ACETONIDE),1,MG/GM,口內膏,10,GM,溫士頓醫藥股份有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 10.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
80,AC51196429,Shu Kou Yan oral paste 1mg/ g,TRIAMCINOLONE (ACETONIDE),1,MG/GM,口內膏,10,GM,台灣源山股份有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 10.00 GM,三B,1,一般學名藥,Y,三B,第三大類,,
81,AC52122429,Cortibond Orabase,TRIAMCINOLONE (ACETONIDE),1,MG/GM,口內膏,10,GM,人人化學製藥股份有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 10.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
82,AC57980429,Oralfix ORAL BASE,TRIAMCINOLONE (ACETONIDE),1,MG/GM,口內膏,10,GM,意欣國際有限公司,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 10.00 GM,三B,1,一般學名藥,Y,三B,第三大類,,
83,AC60366429,Kanheal Orabase,TRIAMCINOLONE ACETONIDE,1,MG/GM,口內膏,10,GM,中生生技製藥股份有限公司淡水廠,TRIAMCINOLONE ， 口內膏 ， 1.00  MG/GM ， 10.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
84,AC15748100,ALDIOXA TABLETS  PATRON  (DIHYDROXYALUMINUM ALLANTOINATE),ALUMINUM CHLORHYDROXYALLANTOINATE (=ALCOXA),100,MG,錠劑,,,臺灣派頓化學製藥股份有限公司,ALUMINUM CHLORHYDROXYALLANTOINATE (=ALCOXA) ， 一般錠劑膠囊劑 ， 100.00 MG,三B,1,一般學名藥,N,三B,第三大類,,
85,A0453511G0,ACTIWE TABLETS  UELIAN,ALUMINUM DIHYDROXYALLANTOINATE (=ALDIOXA),50,MG,錠劑,,,友聯生技醫藥股份有限公司,ALUMINUM DIHYDROXYALLANTOINATE 50MG + ALUMINUM MAGNESIUM SILICATE 450MG， 一般錠劑膠囊劑，,三B,2,一般學名藥,N,三B,第三大類,,
86,AC15543100,PEICHIA TABLETS  P.L.,ALUMINUM DIHYDROXYALLANTOINATE (=ALDIOXA),50,MG,錠劑,,,培力藥品工業股份有限公司,ALUMINUM DIHYDROXYALLANTOINATE 50MG + ALUMINUM MAGNESIUM SILICATE 450MG， 一般錠劑膠囊劑，,三B,1,一般學名藥,N,三B,第三大類,,
87,AC155431G0,PEICHIA TABLETS  P.L.,ALUMINUM DIHYDROXYALLANTOINATE (=ALDIOXA),50,MG,錠劑,,,培力藥品工業股份有限公司,ALUMINUM DIHYDROXYALLANTOINATE 50MG + ALUMINUM MAGNESIUM SILICATE 450MG， 一般錠劑膠囊劑，,三B,1,一般學名藥,N,三B,第三大類,,
88,AC44977100,GOWELL TABLETS  WECAM,ALUMINUM DIHYDROXYALLANTOINATE (=ALDIOXA),50,MG,錠劑,,,惠勝藥品股份有限公司,ALUMINUM DIHYDROXYALLANTOINATE 50MG + ALUMINUM MAGNESIUM SILICATE 450MG， 一般錠劑膠囊劑，,三B,1,一般學名藥,N,三B,第三大類,,
89,AC449771G0,GOWELL TABLETS  WECAM,ALUMINUM DIHYDROXYALLANTOINATE (=ALDIOXA),50,MG,錠劑,,,惠勝藥品股份有限公司,ALUMINUM DIHYDROXYALLANTOINATE 50MG + ALUMINUM MAGNESIUM SILICATE 450MG， 一般錠劑膠囊劑，,三B,1,一般學名藥,N,三B,第三大類,,
90,AC45031100,IWELL TABLETS EVEREST,ALUMINUM DIHYDROXYALLANTOINATE (=ALDIOXA),50,MG,錠劑,,,永勝藥品工業股份有限公司,ALUMINUM DIHYDROXYALLANTOINATE 50MG + ALUMINUM MAGNESIUM SILICATE 450MG， 一般錠劑膠囊劑，,三B,1,一般學名藥,N,三B,第三大類,,
91,AC450311G0,IWELL TABLETS EVEREST,ALUMINUM DIHYDROXYALLANTOINATE (=ALDIOXA),50,MG,錠劑,,,永勝藥品工業股份有限公司,ALUMINUM DIHYDROXYALLANTOINATE 50MG + ALUMINUM MAGNESIUM SILICATE 450MG， 一般錠劑膠囊劑，,三B,1,一般學名藥,N,三B,第三大類,,
